placeName as written	Kima_Id	URI	Primary_Latin	Primary_Hebrew
Vercelli (Italy)	1	http://geo-kima.org/place/1	Vercelli (Italy)	ורצ'לי (איטליה)
Nuremberg (Germany)	10	http://geo-kima.org/place/10	Nuremberg (Germany)	נירנברג (גרמניה)
Sydney (N.S.W.)	100	http://geo-kima.org/place/100	Sydney (N.S.W.)	סידני (אוסטרליה)
Bockenheim (Frankfurt am Main, Germany)	10001	http://geo-kima.org/place/10001	Bockenheim (Frankfurt am Main, Germany)	בוקנהיים (פרנקפורט, גרמניה)
Chongqing (China)	10012	http://geo-kima.org/place/10012	Chongqing (China)	צ'ונגצ'ינג (סין)
Sudbury (Ont.)	10021	http://geo-kima.org/place/10021	Sudbury (Ont.)	סודברי (אונטריו)
Fife (Scotland)	10030	http://geo-kima.org/place/10030	Fife (Scotland)	פייף (סקוטלנד)
Narbonne (France)	10031	http://geo-kima.org/place/10031	Narbonne (France)	נרבון (צרפת)
Sochi (Russia)	10032	http://geo-kima.org/place/10032	Sochi (Russia)	סוצ'י (רוסיה)
Sandomierz (Poland)	10034	http://geo-kima.org/place/10034	Sandomierz (Poland)	סנדומיז' (פולין)
Pohořelice (Jihomoravsky kraj, Czech Republic)	10037	http://geo-kima.org/place/10037	Pohořelice (Jihomoravsky kraj, Czech Republic)	פוגוז'ליצה (מחוז מורביה הדרומית, צ'כיה)
Novato (Calif.)	10044	http://geo-kima.org/place/10044	Novato (Calif.)	נובטו (קליפורניה)
Santa Rosa (Calif.)	10046	http://geo-kima.org/place/10046	Santa Rosa (Calif.)	סנטה רוזה (קליפורניה)
Evergreen (Colo.)	10050	http://geo-kima.org/place/10050	Evergreen (Colo.)	אוורגרין (קולורדו)
Ogden (Utah)	10051	http://geo-kima.org/place/10051	Ogden (Utah)	אוגדן (יוטה)
Kislovodsk (Russia)	10055	http://geo-kima.org/place/10055	Kislovodsk (Russia)	קיסלובודסק (רוסיה)
Stratford (Conn.)	10059	http://geo-kima.org/place/10059	Stratford (Conn.)	סטרטפורד (קונטיקט)
Pi︠a︡tigorsk (Russia)	10065	http://geo-kima.org/place/10065	Pi︠a︡tigorsk (Russia)	פיאטיגורסק (רוסיה)
Kaliningrad (Kaliningradskaia oblast, Russia)	10066	http://geo-kima.org/place/10066	Kaliningrad (Kaliningradskaia oblast, Russia)	קלינינגרד (מחוז קלינינגרד, רוסיה)
Lyon (France)	10071	http://geo-kima.org/place/10071	Lyon (France)	ליון (צרפת)
San Juan (P.R.)	10073	http://geo-kima.org/place/10073	San Juan (P.R.)	סן חואן (פוארטו ריקו)
Gargždai (Lithuania)	10079	http://geo-kima.org/place/10079	Gargždai (Lithuania)	גורזד (ליטא)
Simferopol (Ukraine)	101	http://geo-kima.org/place/101	Simferopol (Ukraine)	סימפרופול (אוקראינה)
Tomaszów Mazowiecki (Poland)	10105	http://geo-kima.org/place/10105	Tomaszów Mazowiecki (Poland)	טומשוב מזוביצק (פולין)
Lido (Italy)	10113	http://geo-kima.org/place/10113	Lido (Italy)	לידו (איטליה)
Fontainebleau (France)	10129	http://geo-kima.org/place/10129	Fontainebleau (France)	פונטנבלו (צרפת)
Krasnodarskii krai (Russia)	10131	http://geo-kima.org/place/10131	Krasnodarskii krai (Russia)	קרסנודאר (רוסיה)
Châteauroux (France)	10132	http://geo-kima.org/place/10132	Châteauroux (France)	שאטורו (צרפת)
Cahors (France)	10137	http://geo-kima.org/place/10137	Cahors (France)	קהור (צרפת)
Wuppertal (Germany)	10141	http://geo-kima.org/place/10141	Wuppertal (Germany)	וופרטל (גרמניה)
Bayonne (France)	10150	http://geo-kima.org/place/10150	Bayonne (France)	ביון (צרפת)
Louveciennes (France)	10161	http://geo-kima.org/place/10161	Louveciennes (France)	לובסיאן (צרפת)
Birkenhead (England)	10164	http://geo-kima.org/place/10164	Birkenhead (England)	בירקנהד (אנגליה)
Szolnok (Hungary)	10174	http://geo-kima.org/place/10174	Szolnok (Hungary)	סולנוק (הונגריה)
Vannes (France)	10181	http://geo-kima.org/place/10181	Vannes (France)	ואן (צרפת)
Limoges (France)	10185	http://geo-kima.org/place/10185	Limoges (France)	לימוז' (צרפת)
Kolín (Czech Republic)	10192	http://geo-kima.org/place/10192	Kolín (Czech Republic)	קולין (צ'כיה)
Angers (France)	10198	http://geo-kima.org/place/10198	Angers (France)	אנז'ה (צרפת)
Slonim (Belarus)	102	http://geo-kima.org/place/102	Slonim (Belarus)	סלונים (בלארוס)
Bad Reichenhall (Germany)	10206	http://geo-kima.org/place/10206	Bad Reichenhall (Germany)	באד רייכנהאל (גרמניה)
Turov (Belarus)	10215	http://geo-kima.org/place/10215	Turov (Belarus)	טורוב (בלארוס)
Verviers (Belgium)	10217	http://geo-kima.org/place/10217	Verviers (Belgium)	ורוייה (בלגיה)
